PELAN STRATEGIK UTeM 2026–2030 | KPI SASARAN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOD KPI,INISIATIF UTAMA,PETUNJUK PRESTASI,SASARAN 2026,PENCAPAIAN FASA 1/ 2026,PENCAPAIAN FASA 2/ 2026,PENCAPAIAN FASA 3/ 2026,PENCAPAIAN FASA 4/ 2026,PERATUS PENCAPAIAN SASARAN 2026,MAKLUMAT PENCAPAIAN 2026,SASARAN 2027,PENCAPAIAN FASA 1/ 2027,PENCAPAIAN FASA 2/ 2027,PENCAPAIAN FASA 3/ 2027,PENCAPAIAN FASA 4/ 2027,PERATUS PENCAPAIAN SASARAN 2027,MAKLUMAT PENCAPAIAN 2027,SASARAN 2028,PENCAPAIAN FASA 1/ 2028,PENCAPAIAN FASA 2/ 2028,PENCAPAIAN FASA 3/ 2028,PENCAPAIAN FASA 4/ 2028,PERATUS PENCAPAIAN SASARAN 2028,MAKLUMAT PENCAPAIAN 2028,SASARAN 2029,PENCAPAIAN FASA 1/ 2029,PENCAPAIAN FASA 2/ 2028,PENCAPAIAN FASA 3/ 2029,PENCAPAIAN FASA 4/ 2029,PERATUS PENCAPAIAN SASARAN 2029,MAKLUMAT PENCAPAIAN 2029,SASARAN 2030,PENCAPAIAN FASA 1/ 2030,PENCAPAIAN FASA 2/ 2030,PENCAPAIAN FASA 3/ 2030,PENCAPAIAN FASA 4/ 2030,PERATUS PENCAPAIAN SASARAN 2030,MAKLUMAT PENCAPAIAN 2030,PELAN TINDAKAN
STRATEGI 2.1: MEMPERKUKUHKAN PENYELIDIKAN DAN PEMBANGUNAN BERIMPAK TINGGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.3,Memperkasa Penerbitan Buku Ilmiah,2.1.3.6 Bilangan laporan teknikal berimpak kepada komuniti dan industri (dengan/tanpa ISBN),10,0,0,0,0,0.00%,• Tiada,12,0,0,0,0,0.00%,• Tiada,14,0,0,0,0,0.00%,• Tiada,16,0,0,0,0,0.00%,• Tiada,18,0,0,0,0,0.00%,• Tiada,"• Bekerjasama dengan RICE untuk menilai laporan buku teknikal yang boleh berada di pasaran
• Penerima geran padanan yang telah tamat diwajibkan mengemukakan laporan teknikal
"
STRATEGI 2.2: MEMPERKASAKAN INOVASI UNTUK MANFAAT KOMUNITI DAN INDUSTRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.1,Membangunkan Potensi Harta Intelek,2.2.1.1 Bilangan paten / utility innovation,8,0,0,0,0,0.00%,• Tiada,12,0,0,0,0,0.00%,• Tiada,16,0,0,0,0,0.00%,• Tiada,20,0,0,0,0,0.00%,• Tiada,24,0,0,0,0,0.00%,• Tiada,"1) 2 BENGKEL PATEN UI
2) 6 PROSES PENILAIAN IP
3) KPI FAKULTI = 1 IP (PATEN ATAU UI) / FAKULTI
"
2.2.1,,"2.2.1.2 Bilangan lain-lain harta intelek
(cap dagangan, hakcipta, reka bentuk perindustrian, perisian yang berdaftar dengan MyIPO atau badan antarabangsa yang setaraf)",77,6,0,0,0,7.79%,"1) LAPLACE TRANSFORM (CRLY2026M00600)
2) FIRST ORDER DIFFERENTIAL EQUATIONS (CRLY2026M00604)
3) PARTIAL DIFFERENTIAL EQUATIONS (CRLY2026M00601)
4) SECOND ORDER LINEAR DIFFERENTIAL EQUATIONS (CRLY2026M00602)
5) FOURIER SERIE (CRLY2026M00603)
6) FERMENTED PALM OIL SURFACTANT FOR LEAVE
7) COATING (CRLY2026M01768)
",77,0,0,0,0,0.00%,• Tiada,77,0,0,0,0,0.00%,• Tiada,77,0,0,0,0,0.00%,• Tiada,77,0,0,0,0,0.00%,• Tiada,"1) 2 BENGKEL IP (SESI PEMANTAPAN ILMU)
2) 6 PROSES PENILAIAN IP
3) KPI FAKULTI = 8 IP (SELAIN PATEN ATAU UI) / FAKULTI
"
STRATEGI 2.3: TRANSFORMASI PENYELIDIKAN DAN INOVASI KEPADA PENGKOMERSIALAN & KEUSAHAWANAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1,2.3.1 Melestarikan UTeM Start Up Centre (USC)/Spin Off/Strategic Business Unit (SBU),2.3.1.1 Bilangan syarikat SBU baharu yang mengkomersialkan inovasi universiti,2,1,0,0,0,50.00%,• SBU (Loopwise Solution),4,0,0,0,0,0.00%,• Tiada,6,0,0,0,0,0.00%,• Tiada,8,0,0,0,0,0.00%,• Tiada,10,0,0,0,0,0.00%,• Tiada,"1) 5 SIRI PROGRAM ROUTE TO START-UP
2) KPI FAKULTI = 1 SYARIKAT ATAU SBU / FAKULTI"
2.3.1,,2.3.1.2 Bilangan syarikat SBU aktif dalam pengkomersialan,3,5,0,0,0,100.00%,"• STARTUP:
1) LESTANI SOLUTION ENTERPRISE
2) KILATHOR LABORATORIES SDN. BHD.
3) AMD ENGINEERING SERVICES SDN. BHD.

• SPINOFF:
1) INGENIOUSCITY ENGINEERING SOLUTIONS SDN. BHD.
2) ERADA SOLUTION SDN. BHD.
",3,0,0,0,0,0.00%,• Tiada,5,0,0,0,0,0.00%,• Tiada,9,0,0,0,0,0.00%,• Tiada,11,0,0,0,0,0.00%,• Tiada,1) PEMANTAUAN PRESTASI SBU / START UP / SPIN-OFF
2.3.1,,2.3.1.3 Bilangan program berstrategik untuk pengkomersialan,5,2,0,0,0,40.00%,"1) BENGKEL IP & SEMAKAN COPYRIGHT BERSAMA MyIPO 2026
2) CONNECTING INNOVATION: MRANTI & UTeM ENGAGEMENT SESSION
",10,0,0,0,0,0.00%,• Tiada,15,0,0,0,0,0.00%,• Tiada,20,0,0,0,0,0.00%,• Tiada,25,0,0,0,0,0.00%,• Tiada,"1) KONSULTASI GERAN BERSAMA MRANTI, CRADLE, MTDC"
2.3.1,,2.3.1.4 Bilangan Penyertaan pameran & program pengkomersialan penyelidikan,5,1,0,0,0,20.00%,1) MTE 2026  (26 Apr),10,0,0,0,0,0.00%,• Tiada,15,0,0,0,0,0.00%,• Tiada,20,0,0,0,0,0.00%,• Tiada,25,0,0,0,0,0.00%,• Tiada,"1) PENYERTAAN KE ITEX, MCY, IPBM, MAHA, ETC."
